"","name","country.etc","pop","lat","long","capital"
"1","'Abasan al-Jadidah","PSE",5629,31.31,34.34,0
"2","'Abasan al-Kabirah","PSE",18999,31.32,34.35,0
"3","'Abdul Hakim","PAK",47788,30.55,72.11,0
"4","'Abdullah-as-Salam","KWT",21817,29.36,47.98,0
"5","'Abud","PSE",2456,32.03,35.07,0
"6","'Abwein","PSE",3434,32.03,35.2,0
"7","'Adadlay","SOM",9198,9.77,44.65,0
"8","'Adale","SOM",5492,2.75,46.3,0
"9","'Afak","IRQ",22706,32.07,45.26,0
"10","'Afif","SAU",41731,23.92,42.93,0
"11","'Afrin","SYR",51139,36.51,36.87,0
"12","'Afula","ISR",39151,32.62,35.29,0
"13","'Ajabshir","IRN",30766,37.48,45.91,0
"14","'Ajjah","PSE",5143,32.37,35.2,0
"15","'Ajlun","JOR",8629,32.34,35.74,0
"16","'Ajman","ARE",238605,25.42,55.43,0
"17","'Akko","ISR",45606,32.94,35.08,0
"18","'Al'al","JOR",4526,32.63,35.9,0
"19","'Alayh","LBN",27523,33.81,35.61,0
"20","'Alem Maya","ETH",11513,9.4,42.01,0
"21","'Ali","BHR",57024,26.15,50.53,0
"22","'Ali Hayl","AFG",12834,33.94,69.7,0
"23","'Ali Sabih","DJI",40715,11.16,42.71,0
"24","'Ali al Garbi","IRQ",20370,32.46,46.68,0
"25","'Alula","SOM",5158,11.97,50.76,0
"26","'Amman","JOR",1303197,31.95,35.93,1
"27","'Amran","YEM",35989,15.66,43.94,0
"28","'Amuda","SYR",45980,37.1,40.93,0
"29","'Anabta","PSE",7311,32.31,35.12,0
"30","'Anah","IRQ",20297,34.47,41.93,0
"31","'Anata","PSE",9149,31.81,35.28,0
"32","'Anin","PSE",3717,32.5,35.17,0
"33","'Anjarah","JOR",17977,32.31,35.75,0
"34","'Ank","SAU",21934,26.53,50.02,0
"35","'Anzah","PSE",2006,32.37,35.22,0
"36","'Aqbah Jabbar","PSE",6337,31.83,35.45,0
"37","'Aqqaba","PSE",6064,32.35,35.35,0
"38","'Aqraba","PSE",7925,32.15,35.38,0
"39","'Aqrah","IRQ",35844,36.76,43.91,0
"40","'Ar'ara","ISR",15841,32.49,35.1,0
"41","'Arad","ISR",22757,31.26,35.22,0
"42","'Arrabah","PSE",9983,32.43,35.21,0
"43","'Arrabe","ISR",20316,32.85,35.33,0
"44","'Arranah","PSE",2144,32.5,35.32,0
"45","'Arurah","PSE",2966,32.04,35.17,0
"46","'Asirah al-Qibliyah","PSE",2284,32.18,35.21,0
"47","'Asirah as-Samaliyah","PSE",7754,32.25,35.27,0
"48","'Askar","PSE",12694,32.22,35.28,0
"49","'Ataq","YEM",2982,14.55,46.88,0
"50","'Atarah","PSE",2347,32,35.21,0
"51","'Atbarah","SDN",109734,17.71,33.98,0
"52","'Atlit","ISR",4686,32.68,34.93,0
"53","'Attil","PSE",10389,32.37,35.07,0
"54","'Awarta","PSE",5808,32.17,35.28,0
"55","'Awsajah","TUN",3807,37.13,10.1,0
"56","'Aydah","PSE",3258,31.73,35.2,0
"57","'Ayn 'Azl","DZA",45884,35.85,5.5,0
"58","'Ayn Abid","DZA",30348,36.23,6.94,0
"59","'Ayn Arnat","DZA",36553,36.19,5.31,0
"60","'Ayn Binyan","DZA",30870,36.8,2.92,0
"61","'Ayn Bissam","DZA",30063,36.29,3.67,0
"62","'Ayn Biya","DZA",38658,35.82,-0.29,0
"63","'Ayn Bu Sif","DZA",12131,35.9,3.15,0
"64","'Ayn Dahab","DZA",37664,34.85,1.55,0
"65","'Ayn Darahim","TUN",7136,36.78,8.69,0
"66","'Ayn Fakrun","DZA",71763,35.98,6.87,0
"67","'Ayn Ibn Fuhayd","SAU",5239,26.78,44.22,0
"68","'Ayn Jalulah","TUN",1967,35.8,9.8,0
"69","'Ayn Janna","JOR",9773,32.33,35.77,0
